SourceFile,Latitude Decimal,Longitude Decimal
IMG_0202.PNG,29.64359167,82.33923333
IMG_1691.PNG,29.64895556,82.349975
IMG_5150.PNG,29.64651389,82.34475
IMG_0174.PNG,29.63912778,82.34152222
IMG_0175.PNG,29.64115556,82.34293333
IMG_5151.PNG,29.64683056,82.34419167
IMG_5145.PNG,29.64714722,82.34159722
IMG_1690.PNG,29.64885278,82.34673333
IMG_1684.PNG,29.64684722,82.34671667
IMG_0201.PNG,29.64636944,82.33788333
IMG_1692.PNG,29.64833889,82.35183611
IMG_1686.PNG,29.64716944,82.34589444
IMG_5153.PNG,29.64684722,82.34543611
IMG_5147.PNG,29.64667222,82.34304167
IMG_0177.PNG,29.64171389,82.34378889
IMG_0188.PNG,29.64343889,82.36246389
IMG_0189.PNG,29.64324722,82.35893333
IMG_2952.PNG,29.63808889,82.36850833
IMG_0176.PNG,29.64120278,82.34309444
IMG_5146.PNG,29.64698611,82.34253056
IMG_5152.PNG,29.64640833,82.34504722
IMG_1687.PNG,29.64778056,82.34670278
IMG_1693.PNG,29.64833889,82.35296667
IMG_0200.PNG,29.64674722,82.33949167
IMG_1697.PNG,29.64503056,82.35509444
IMG_5142.PNG,29.64647222,82.34136944
IMG_0172.PNG,29.63965,82.34164444
IMG_0199.PNG,29.64541111,82.34047778
IMG_2956.PNG,29.63804722,82.36846111
IMG_2943.PNG,29.63736111,82.36647778
IMG_2957.PNG,29.63804722,82.36846111
IMG_0198.PNG,29.64425,82.34081944
IMG_5143.PNG,29.64646944,82.34136111
IMG_1682.PNG,29.64572222,82.346475
IMG_1696.PNG,29.64734167,82.35521667
IMG_1694.PNG,29.64841944,82.35427778
IMG_5141.PNG,29.64604167,82.34063611
IMG_5155.PNG,29.64606389,82.34327778
IMG_0171.PNG,29.64121944,82.33924167
IMG_5154.PNG,29.64666667,82.34555
IMG_5140.PNG,29.64563056,82.34025556
IMG_1695.PNG,29.64821667,82.35508056
IMG_1681.PNG,29.64565,82.34571111
IMG_5127.PNG,29.64721389,82.34047778
IMG_5133.PNG,29.64639167,82.33834722
IMG_2927.PNG,29.63581389,82.36929444
IMG_5090.PNG,29.65082222,82.34411667
IMG_5084.PNG,29.65123056,82.34429167
IMG_5085.PNG,29.65110833,82.34426944
IMG_2932.PNG,29.63613611,82.36367778
IMG_5132.PNG,29.647275,82.33827222
IMG_2885.PNG,29.635475,82.36762222
